soil_type,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,recommended_crop
Alluvial,72.2,30.8,11.1,20.9,30.4,5.8,20.9,Mustard
Sandy,233.8,19.5,15.9,17.7,52.1,12.5,31.6,Cotton
Black,383.7,37.4,21.1,29.2,41.4,12.6,20.9,Groundnut
Sandy,191.2,39.1,6.5,22.8,27.6,12.4,30.2,Groundnut
Laterite,229.5,29.0,15.5,22.2,97.5,3.3,32.4,Soybean
Loamy,109.9,32.4,17.8,25.1,74.2,4.9,33.8,Maize
Clayey,313.4,30.6,13.0,21.8,90.9,4.6,1.6,Soybean
Red,231.1,18.3,8.3,13.3,22.1,5.4,3.3,Wheat
Laterite,59.3,26.4,13.4,19.9,60.3,12.7,14.1,Rice
Clayey,172.7,34.2,23.2,28.7,50.1,9.5,17.5,Soybean
Sandy,320.5,38.5,9.0,23.8,25.3,3.8,31.0,Groundnut
Alluvial,54.6,39.2,24.9,32.0,75.9,12.5,7.9,Sesame
Sandy,24.0,41.6,21.9,31.8,41.8,8.4,4.3,Cotton
Calcareous,92.3,41.4,34.6,38.0,21.8,6.1,9.8,Soybean
Calcareous,296.0,19.8,10.1,14.9,83.8,12.4,6.8,Soybean
Calcareous,204.9,24.7,19.4,22.0,43.5,9.5,12.2,Barley
Saline,93.1,40.9,8.1,24.5,46.6,9.8,12.4,Soybean
Red,316.3,22.1,5.7,13.9,80.1,7.3,21.2,Soybean
Laterite,323.7,29.2,12.8,21.0,44.4,13.6,8.3,Sesame
Sandy,342.5,39.3,25.7,32.5,73.1,7.6,34.3,Rice
Alluvial,278.8,40.0,11.6,25.8,97.0,5.7,30.3,Tur
Sandy,165.9,20.4,15.5,17.9,77.6,7.6,2.3,Wheat
Calcareous,281.2,25.5,16.1,20.8,39.8,3.1,17.5,Cotton
Calcareous,245.8,24.9,19.8,22.4,25.7,5.1,28.8,Maize
Sandy,59.1,28.2,24.3,26.2,77.0,8.8,25.6,Barley
Red,33.9,35.5,14.6,25.1,78.3,3.5,2.1,Rice
Red,92.8,32.6,21.7,27.1,28.1,5.2,21.1,Chana
Clayey,134.8,24.4,9.6,17.0,46.0,4.7,6.1,Mustard
Sandy,240.6,23.8,13.4,18.6,52.5,9.7,22.5,Chana
Red,47.7,35.9,8.7,22.3,30.3,8.8,19.4,Soybean
Alluvial,282.1,21.6,7.2,14.4,59.6,3.8,29.1,Mustard
Red,92.3,19.2,14.0,16.6,24.3,9.4,29.1,Bajra
Loamy,73.3,26.3,15.5,20.9,38.3,4.1,6.6,Maize
Sandy,362.0,25.7,21.2,23.4,44.7,8.2,27.4,Wheat
Black,235.9,18.6,5.7,12.2,24.8,6.3,10.6,Mustard
Sandy,83.3,39.3,7.8,23.5,97.3,8.6,26.4,Tur
Alluvial,281.5,39.1,33.4,36.2,67.1,12.6,26.9,Sesame
Alluvial,267.8,39.2,23.5,31.4,59.6,4.8,22.0,Maize
Sandy,148.6,31.5,22.5,27.0,82.2,3.1,23.5,Groundnut
Saline,327.6,28.4,19.9,24.1,71.8,5.9,6.2,Rice
Peaty,103.2,24.4,6.8,15.6,73.6,8.5,33.1,Wheat
Clayey,151.2,33.7,18.1,25.9,99.9,7.6,3.8,Sesame
Black,95.7,37.8,7.2,22.5,99.8,9.5,12.8,Groundnut
Loamy,146.3,29.2,11.5,20.4,28.5,4.7,31.5,Groundnut
Calcareous,372.0,30.7,14.0,22.4,27.5,9.2,31.0,Sesame
Sandy,284.7,39.3,6.8,23.0,41.9,9.9,19.3,Maize
Sandy,42.5,34.4,10.6,22.5,43.0,10.3,7.5,Rice
Red,171.7,18.3,16.0,17.1,62.6,13.0,2.9,Rice
Calcareous,126.3,21.9,7.8,14.8,49.5,7.0,29.8,Mustard
Saline,194.4,22.4,11.3,16.9,42.8,10.9,11.4,Maize
Peaty,125.2,35.5,6.9,21.2,34.3,3.1,30.8,Sugarcane
Sandy,195.4,22.2,9.2,15.7,49.4,7.0,8.1,Barley
Alluvial,16.4,19.8,5.6,12.7,53.7,11.1,12.0,Mustard
Calcareous,211.8,19.5,15.8,17.6,75.0,12.4,6.5,Rice
Peaty,296.1,24.2,12.1,18.1,58.7,12.7,15.5,Maize
Saline,106.1,30.9,13.9,22.4,94.4,5.4,14.0,Sesame
Red,369.5,18.0,15.9,16.9,60.8,9.6,6.9,Soybean
Black,379.4,22.4,17.3,19.9,52.1,4.9,2.4,Maize
Laterite,6.1,31.4,14.2,22.8,55.4,7.2,34.0,Cotton
Clayey,201.9,32.5,14.8,23.6,100.0,7.0,30.1,Sugarcane
Red,96.6,20.3,7.7,14.0,59.2,10.4,1.8,Mustard
Clayey,263.7,20.1,10.7,15.4,56.4,8.9,15.5,Barley
Saline,72.8,23.1,5.8,14.5,49.4,13.3,1.8,Mustard
Alluvial,218.0,34.7,18.3,26.5,77.4,3.2,13.1,Sugarcane
Laterite,202.7,28.2,25.3,26.8,86.7,3.4,23.4,Rice
Calcareous,241.1,40.0,9.6,24.8,83.1,12.1,9.1,Sesame
Peaty,374.0,36.0,30.1,33.0,84.0,4.1,17.4,Tur
Alluvial,376.5,24.4,5.6,15.0,70.6,6.6,25.1,Rice
Loamy,63.7,38.3,29.1,33.7,83.3,7.0,16.9,Bajra
Black,40.0,40.3,21.5,30.9,90.3,7.9,15.9,Sesame
Saline,294.4,40.2,28.7,34.5,63.4,12.1,12.5,Groundnut
Black,113.2,31.5,26.5,29.0,39.3,5.9,17.9,Groundnut
Loamy,275.8,21.2,7.5,14.3,20.4,13.9,25.3,Barley
Loamy,26.8,19.6,8.9,14.2,92.3,13.8,14.4,Wheat
Loamy,56.6,33.4,17.8,25.6,27.7,6.8,13.4,Cotton
Alluvial,185.0,28.9,24.0,26.4,54.8,13.3,18.9,Cotton
Alluvial,376.8,21.4,18.0,19.7,49.5,6.8,20.6,Tur
Loamy,392.1,38.1,13.5,25.8,70.1,8.0,1.7,Maize
Calcareous,375.8,24.2,10.7,17.4,70.1,4.8,12.7,Soybean
Loamy,349.3,36.8,30.6,33.7,46.9,4.5,29.6,Cotton
Black,174.3,38.3,7.1,22.7,76.3,8.2,24.6,Soybean
Red,225.9,40.8,32.8,36.8,98.8,10.2,11.1,Sesame
Loamy,101.3,34.6,13.5,24.1,27.2,5.9,2.4,Groundnut
Alluvial,355.3,27.6,14.2,20.9,65.5,7.0,28.3,Wheat
Alluvial,180.2,34.9,19.7,27.3,40.7,12.9,1.9,Tur
Saline,221.6,38.6,12.6,25.6,85.2,4.6,27.9,Sugarcane
Clayey,389.9,36.9,14.9,25.9,51.3,6.1,29.5,Rice
Saline,398.3,29.4,23.6,26.5,74.2,9.3,11.7,Soybean
Sandy,355.0,36.5,14.0,25.2,58.2,11.3,2.2,Tur
Loamy,250.2,38.2,34.8,36.5,44.9,5.7,33.4,Groundnut
Red,336.9,28.9,26.1,27.5,76.9,10.1,21.6,Soybean
Peaty,378.7,36.7,19.6,28.2,22.7,9.2,33.4,Groundnut
Black,4.3,20.4,10.8,15.6,67.6,5.3,2.8,Soybean
Calcareous,356.8,18.8,10.4,14.6,66.5,7.0,21.5,Sugarcane
Peaty,249.9,41.7,8.9,25.3,79.1,5.8,3.0,Mustard
Peaty,346.3,35.7,22.2,29.0,94.9,13.3,11.9,Rice
Alluvial,147.6,28.2,16.4,22.3,20.3,7.6,32.8,Sugarcane
Saline,134.0,34.9,28.9,31.9,65.9,5.0,4.2,Cotton
Calcareous,109.7,40.0,6.4,23.2,70.4,8.4,25.0,Sugarcane
Laterite,103.8,32.0,28.4,30.2,94.7,10.8,5.8,Sesame
Sandy,259.7,32.5,21.5,27.0,26.8,5.0,7.3,Cotton
Peaty,217.1,36.7,34.0,35.4,37.9,8.7,17.2,Cotton
Calcareous,133.0,34.1,18.9,26.5,92.5,12.6,8.0,Chana
Loamy,118.9,26.9,10.1,18.5,62.0,13.8,31.9,Soybean
Red,272.8,35.6,11.6,23.6,23.1,4.1,7.5,Tur
Laterite,122.5,34.7,16.8,25.8,75.7,7.1,1.5,Mustard
Black,247.9,41.2,35.9,38.5,81.7,7.9,33.9,Maize
Loamy,262.9,34.9,15.2,25.0,55.5,13.1,20.9,Soybean
Saline,24.9,24.6,7.2,15.9,30.8,11.4,12.8,Wheat
Calcareous,299.1,27.3,21.5,24.4,68.4,7.4,16.8,Tur
Clayey,376.1,18.9,13.7,16.3,32.8,7.7,13.4,Barley
Loamy,337.1,25.0,13.6,19.3,84.4,6.3,30.5,Sugarcane
Red,318.5,19.8,9.0,14.4,35.4,6.3,33.3,Wheat
Loamy,265.6,26.5,21.5,24.0,24.8,9.4,12.9,Soybean
Clayey,351.4,23.2,16.4,19.8,66.3,6.7,9.5,Bajra
Sandy,319.7,26.2,13.5,19.9,92.4,10.4,23.8,Rice
Black,332.2,24.3,13.7,19.0,72.4,13.0,22.1,Sugarcane
Sandy,277.1,26.3,5.8,16.1,94.3,5.5,22.7,Soybean
Red,329.5,20.4,10.4,15.4,34.1,3.1,20.3,Tur
Saline,330.3,27.5,13.7,20.6,48.5,9.3,9.9,Chana
Calcareous,264.0,19.2,13.0,16.1,30.4,8.0,23.6,Mustard
Black,74.0,36.9,16.0,26.4,58.3,10.3,33.9,Soybean
Calcareous,243.7,41.6,34.8,38.2,57.8,13.6,4.7,Barley
Saline,142.0,39.0,10.9,24.9,28.7,8.2,30.8,Mustard
Calcareous,383.2,32.4,11.9,22.1,55.5,4.8,0.9,Bajra
Sandy,85.6,31.8,19.3,25.6,68.5,8.7,12.4,Barley
Peaty,45.4,38.8,6.7,22.8,51.8,8.2,31.0,Sesame
Red,189.0,28.5,25.6,27.1,77.1,6.2,30.8,Wheat
Calcareous,46.2,25.6,18.7,22.1,90.2,5.6,17.3,Groundnut
Red,131.8,39.9,35.4,37.6,49.6,12.0,12.9,Cotton
Clayey,106.2,25.7,19.2,22.4,82.2,3.9,20.6,Soybean
Black,392.2,30.1,8.3,19.2,26.2,11.6,7.4,Groundnut
Red,237.7,21.2,17.9,19.5,86.6,4.0,20.2,Sugarcane
Black,315.8,20.8,16.7,18.8,32.3,12.4,23.7,Cotton
Loamy,154.0,27.9,20.8,24.4,79.2,11.3,24.9,Cotton
Alluvial,277.4,31.1,28.5,29.8,37.7,8.1,0.2,Wheat
Saline,204.5,36.8,16.5,26.6,94.1,9.2,3.6,Barley
Loamy,320.0,39.7,26.0,32.9,93.0,5.3,25.5,Cotton
Red,231.2,20.7,8.7,14.7,43.3,9.9,14.6,Wheat
Red,243.0,32.7,14.1,23.4,98.7,12.4,23.3,Rice
Laterite,289.4,20.7,5.1,12.9,69.6,10.4,33.8,Barley
Black,273.5,29.0,10.8,19.9,27.1,11.7,25.6,Groundnut
Laterite,379.0,41.1,37.5,39.3,48.8,9.5,21.5,Cotton
Peaty,225.3,41.2,15.8,28.5,83.2,8.1,6.0,Cotton
Calcareous,250.4,37.5,13.3,25.4,33.9,7.7,33.2,Soybean
Black,205.4,18.0,7.6,12.8,95.6,7.0,15.7,Rice
Loamy,139.9,32.8,19.3,26.0,73.3,13.9,28.1,Cotton
Laterite,195.1,18.3,12.3,15.3,82.6,12.6,18.3,Maize
Alluvial,109.4,36.6,15.6,26.1,99.7,8.3,32.4,Sesame
Saline,75.0,25.2,12.4,18.8,89.9,3.8,22.7,Cotton
Calcareous,166.3,20.2,10.3,15.2,20.9,10.3,30.7,Cotton
Calcareous,387.8,26.1,16.5,21.3,85.9,8.1,16.6,Sugarcane
Loamy,336.0,32.1,11.5,21.8,61.7,10.6,31.9,Cotton
Calcareous,15.5,31.4,16.1,23.8,44.6,13.6,0.4,Tur
Laterite,25.1,41.9,38.5,40.2,78.1,10.4,13.9,Sesame
Saline,49.1,31.9,20.0,25.9,83.8,11.9,34.9,Rice
Laterite,287.2,25.5,9.5,17.5,25.8,4.5,13.0,Sesame
Red,249.6,22.4,19.4,20.9,49.1,11.2,16.0,Maize
Loamy,296.2,28.8,9.5,19.1,27.9,8.1,8.2,Groundnut
Saline,161.4,25.5,13.3,19.4,39.9,8.5,34.8,Rice
Saline,70.1,31.6,26.9,29.2,86.4,4.5,1.2,Maize
Red,391.9,30.1,18.0,24.1,60.7,11.9,7.8,Bajra
Calcareous,121.1,23.5,9.4,16.4,21.7,4.2,9.8,Barley
Saline,85.4,35.6,20.3,28.0,53.7,7.0,16.5,Tur
Black,292.5,40.3,34.9,37.6,92.3,8.0,20.3,Maize
Loamy,325.1,35.7,14.6,25.2,45.2,13.8,5.5,Maize
Clayey,318.6,32.7,11.9,22.3,66.6,13.1,3.0,Sugarcane
Sandy,345.4,25.7,22.4,24.0,77.3,9.6,26.9,Sugarcane
Calcareous,158.3,20.2,14.2,17.2,84.2,7.1,12.2,Mustard
Sandy,150.5,24.0,6.7,15.3,45.2,12.1,21.1,Wheat
Black,370.0,19.8,13.4,16.6,67.0,5.4,17.0,Soybean
Saline,89.7,28.2,9.4,18.8,31.6,5.0,18.0,Mustard
Clayey,35.8,25.2,17.7,21.4,88.1,5.5,32.6,Groundnut
Laterite,33.7,34.8,26.7,30.8,89.7,5.9,24.6,Chana
Sandy,220.5,38.4,20.4,29.4,76.3,3.0,24.1,Cotton
Calcareous,154.9,27.5,7.7,17.6,43.3,10.9,14.1,Soybean
Red,321.7,38.9,25.0,31.9,27.0,9.3,11.2,Chana
Loamy,5.6,28.3,25.1,26.7,91.4,3.1,27.8,Sugarcane
Laterite,75.8,38.4,16.5,27.4,98.1,9.2,28.1,Sesame
Clayey,288.2,26.4,19.9,23.1,81.4,3.8,19.9,Soybean
Black,10.8,35.9,28.3,32.1,73.4,10.9,29.8,Sesame
Sandy,205.8,34.7,31.6,33.2,93.5,11.9,31.4,Sugarcane
Loamy,85.6,34.4,7.5,20.9,62.0,8.0,7.0,Maize
Calcareous,44.6,29.1,22.9,26.0,49.6,12.3,24.2,Mustard
Black,132.2,35.9,15.9,25.9,60.4,13.7,20.8,Cotton
Black,71.5,31.0,25.5,28.2,93.0,13.7,34.3,Groundnut
Black,372.6,28.2,8.6,18.4,64.5,7.2,25.9,Cotton
Clayey,113.7,19.6,16.3,18.0,59.4,5.3,16.4,Sugarcane
Alluvial,90.8,31.9,27.3,29.6,87.6,10.5,21.4,Chana
Loamy,119.5,27.7,9.4,18.6,38.7,10.3,19.3,Groundnut
Alluvial,4.0,26.5,13.2,19.9,68.5,3.5,19.5,Chana
Clayey,393.3,42.0,37.4,39.7,48.7,10.9,20.0,Rice
Peaty,79.7,34.0,10.5,22.2,99.5,13.9,19.8,Wheat
Saline,17.2,29.3,19.4,24.4,77.5,10.2,25.8,Tur
Black,375.8,20.1,15.7,17.9,99.7,7.2,29.6,Soybean
Clayey,12.2,38.3,26.0,32.1,20.5,13.6,9.8,Cotton
Laterite,357.0,32.6,29.0,30.8,61.6,13.0,11.6,Bajra
Black,35.4,19.1,12.1,15.6,94.1,13.3,20.1,Soybean
Black,220.3,32.0,11.2,21.6,97.8,7.6,23.0,Sugarcane
Black,310.5,22.2,15.0,18.6,69.2,11.3,8.8,Cotton
Loamy,93.0,35.0,9.1,22.1,62.7,6.4,23.4,Cotton
Peaty,80.6,39.6,32.6,36.1,99.8,3.1,8.0,Chana
Sandy,188.0,20.1,6.6,13.4,62.5,4.3,10.1,Barley
Sandy,159.7,32.7,8.0,20.4,63.8,13.8,9.1,Mustard
Calcareous,135.4,25.8,18.6,22.2,53.7,7.9,9.2,Soybean
Calcareous,4.4,36.6,18.2,27.4,89.5,12.4,24.1,Chana
Laterite,154.8,37.6,34.1,35.9,76.4,11.0,15.1,Chana
Saline,28.8,18.6,15.2,16.9,91.7,12.8,0.7,Wheat
Peaty,194.8,36.8,22.3,29.5,90.6,12.3,30.7,Chana
Sandy,124.6,27.1,15.0,21.1,92.6,7.9,26.0,Chana
Black,379.4,27.0,20.5,23.8,93.5,6.9,10.3,Soybean
Laterite,68.7,31.9,22.1,27.0,46.6,6.2,8.7,Wheat
Laterite,217.9,34.8,11.1,22.9,55.5,3.6,14.5,Cotton
Calcareous,106.8,32.6,9.6,21.1,79.8,7.2,14.9,Sugarcane
Sandy,249.7,33.8,24.2,29.0,74.9,8.7,5.0,Rice
Red,319.9,22.8,16.8,19.8,75.1,4.2,24.3,Soybean
Red,44.2,18.9,7.3,13.1,70.6,6.9,11.7,Wheat
Peaty,87.2,37.8,10.3,24.0,80.5,3.8,17.6,Wheat
Alluvial,364.2,33.1,12.5,22.8,65.5,8.7,29.2,Sesame
Loamy,128.0,32.2,18.6,25.4,45.2,7.3,22.0,Soybean
Peaty,44.4,36.1,10.1,23.1,95.1,3.5,14.1,Sugarcane
Saline,104.2,41.5,27.9,34.7,85.3,12.8,18.5,Soybean
Sandy,247.5,36.9,10.1,23.5,71.6,8.5,33.9,Barley
Red,318.9,24.8,17.2,21.0,83.7,3.9,26.2,Sugarcane
Peaty,12.5,41.5,28.9,35.2,30.9,8.8,27.0,Sesame
Sandy,97.0,24.0,6.0,15.0,61.7,4.5,18.2,Wheat
Saline,213.8,22.1,9.9,16.0,79.2,9.0,1.5,Sugarcane
Black,269.1,24.0,9.9,16.9,34.9,12.0,34.7,Barley
Clayey,307.3,30.1,12.7,21.4,51.1,4.8,26.6,Barley
Saline,399.6,29.7,10.7,20.2,22.1,11.6,31.7,Maize
Loamy,96.6,30.2,23.1,26.6,48.0,6.9,31.0,Maize
Saline,269.8,24.5,16.2,20.4,55.5,9.0,1.7,Cotton
Loamy,72.5,32.9,26.9,29.9,49.3,10.5,29.6,Soybean
Peaty,287.3,20.1,16.9,18.5,53.0,8.2,4.2,Barley
Loamy,58.4,38.8,6.0,22.4,25.7,5.6,21.8,Cotton
Alluvial,98.1,21.7,19.3,20.5,42.9,3.9,2.8,Soybean
Calcareous,76.7,18.8,11.4,15.1,44.7,5.9,25.5,Maize
Laterite,331.5,39.1,30.4,34.8,76.1,7.6,2.8,Groundnut
Alluvial,49.1,28.3,24.2,26.2,30.3,5.8,12.5,Chana
Alluvial,90.2,19.3,5.1,12.2,95.1,13.7,34.1,Wheat
Clayey,304.7,25.7,13.1,19.4,43.7,10.8,21.0,Rice
Red,193.8,21.0,5.7,13.3,23.8,10.1,9.3,Barley
Clayey,98.1,36.8,19.0,27.9,28.2,12.5,30.5,Rice
Sandy,263.3,34.0,14.1,24.1,71.0,12.8,0.1,Rice
Loamy,89.5,26.4,11.4,18.9,32.5,9.1,7.5,Groundnut
Black,197.6,28.7,7.1,17.9,74.0,9.2,30.1,Groundnut
Red,125.5,23.8,5.6,14.7,74.7,8.0,3.2,Wheat
Calcareous,378.5,20.8,10.8,15.8,77.6,4.4,31.0,Sugarcane
Peaty,62.8,33.6,25.2,29.4,22.9,11.1,19.5,Mustard
Loamy,244.2,18.6,11.3,15.0,40.5,3.4,26.2,Groundnut
Peaty,21.5,41.3,37.4,39.3,79.7,10.4,31.8,Bajra
Alluvial,263.7,28.9,19.0,23.9,81.3,12.0,13.2,Sugarcane
Peaty,161.9,24.9,21.9,23.4,38.6,4.9,31.7,Sesame
Red,276.5,20.6,9.5,15.1,95.9,12.7,6.8,Rice
Laterite,123.7,19.6,9.8,14.7,71.1,6.6,32.8,Wheat
Red,178.1,37.2,16.2,26.7,87.6,6.3,16.4,Cotton
Calcareous,60.5,31.5,19.4,25.4,97.2,13.6,10.1,Wheat
Calcareous,363.6,40.5,27.0,33.8,56.1,6.9,4.2,Mustard
Peaty,151.3,34.5,28.4,31.4,57.5,9.2,9.9,Tur
Clayey,370.3,37.2,33.1,35.2,78.9,6.9,20.1,Bajra
Black,18.5,37.7,9.3,23.5,34.9,7.6,29.0,Sesame
Laterite,113.9,32.7,16.4,24.6,32.3,3.5,31.8,Chana
Peaty,318.8,33.3,7.1,20.2,67.4,8.7,27.5,Wheat
Clayey,215.5,27.6,8.9,18.2,95.6,11.1,6.9,Rice
Red,310.9,28.2,7.4,17.8,45.0,7.3,7.8,Cotton
Alluvial,222.7,31.8,26.5,29.1,42.0,3.1,14.9,Groundnut
Red,172.1,40.0,32.3,36.1,22.1,5.6,2.9,Maize
Peaty,103.1,35.8,29.0,32.4,32.4,12.5,24.0,Sugarcane
Peaty,215.2,33.2,15.6,24.4,72.3,6.6,24.1,Rice
Peaty,284.2,32.2,12.0,22.1,72.5,11.7,7.3,Soybean
Red,19.5,33.4,24.1,28.8,80.2,6.9,3.4,Tur
Laterite,361.5,32.1,8.7,20.4,78.9,4.6,26.1,Soybean
Red,178.6,25.0,14.9,19.9,64.7,6.8,10.6,Wheat
Sandy,144.7,19.9,14.8,17.4,34.3,4.1,16.4,Rice
Alluvial,140.7,23.1,15.2,19.1,58.9,8.7,7.3,Soybean
Sandy,223.1,27.6,14.3,21.0,57.5,5.3,2.1,Chana
Red,45.9,26.1,13.8,20.0,41.7,4.3,3.7,Mustard
Saline,237.8,40.7,6.4,23.6,22.0,5.5,4.5,Cotton
Clayey,157.8,22.7,14.6,18.6,50.6,3.4,23.1,Cotton
Calcareous,288.3,32.6,15.0,23.8,29.3,3.4,32.6,Cotton
Red,209.2,35.3,13.1,24.2,63.6,8.0,21.5,Wheat
Calcareous,18.3,23.0,12.1,17.6,83.7,12.0,11.4,Mustard
Black,200.2,39.7,14.2,27.0,61.8,11.1,27.7,Cotton
Saline,44.5,26.7,7.6,17.1,57.0,3.2,29.1,Sugarcane
Black,74.9,41.8,38.0,39.9,79.1,13.6,22.0,Cotton
Alluvial,148.1,36.6,27.4,32.0,61.9,11.3,8.5,Soybean
Black,123.5,31.0,16.6,23.8,44.0,9.1,20.8,Maize
Clayey,83.1,23.6,16.5,20.1,65.6,13.6,9.0,Sesame
Black,145.0,24.4,15.6,20.0,23.5,11.2,22.8,Cotton
Black,256.3,20.3,6.5,13.4,49.1,8.3,2.7,Wheat
Calcareous,322.3,21.8,17.8,19.8,93.6,7.7,18.8,Soybean
Sandy,92.6,36.2,8.8,22.5,66.5,12.2,22.0,Cotton
Red,211.1,37.9,7.7,22.8,49.3,11.2,6.4,Mustard
Laterite,163.3,35.1,5.2,20.2,93.1,6.5,5.1,Barley
Clayey,65.1,28.0,11.2,19.6,95.5,13.6,19.7,Tur
Laterite,303.7,39.9,14.6,27.2,88.3,9.7,13.1,Sugarcane
Laterite,18.9,21.1,10.9,16.0,88.3,13.6,22.1,Sugarcane
Saline,323.6,33.9,23.5,28.7,88.9,8.5,13.7,Soybean
Alluvial,378.6,22.8,15.5,19.1,38.1,6.3,28.0,Sesame
Loamy,345.8,26.1,5.3,15.7,67.3,13.9,12.0,Soybean
Calcareous,344.7,24.1,8.0,16.1,25.1,10.2,6.7,Barley
Red,113.0,24.8,11.6,18.2,56.6,9.5,27.7,Bajra
