state,district,month,soil_type,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,wind_direction,rain_probability,rain_duration_hours
Gujarat,Vadodara,2025-08,Black,322.5,31.7,22.8,27.2,66.9,3.6,7.3,NW,78.00,41.93
Gujarat,Vadodara,2025-09,Loamy,104.4,36.8,24.6,30.7,57.8,8,1.7,E,59.00,13.57
Gujarat,Bhavnagar,2023-10,Sandy,22.2,36.2,20.3,28.2,56.4,9.8,6.8,SE,42.00,2.89
Gujarat,Bhavnagar,2023-11,Black,7.2,36.5,18.3,27.4,47.5,9,5.5,W,30.00,0.94
Gujarat,Bhavnagar,2023-12,Alluvial,5.4,28.8,13.1,20.9,40.2,10,9.1,NE,53.00,0.70
Gujarat,Bhavnagar,2024-01,Red,8.5,28.3,11.7,20,35.2,9.1,9.2,W,80.00,1.11
Gujarat,Bhavnagar,2024-02,Sandy,8.8,30.7,15.1,22.9,58.6,9.9,13.7,W,47.00,1.14
Gujarat,Bhavnagar,2024-03,Alluvial,6.8,34.2,15.9,25.1,60,10.2,7.9,NW,60.00,0.88
Gujarat,Bhavnagar,2024-04,Alluvial,22.5,37.4,27,32.2,46.3,9.6,10.2,NE,41.00,2.93
Gujarat,Bhavnagar,2024-05,Red,69.8,41.4,27.1,34.2,64.7,9.3,12.1,W,75.00,9.07
Gujarat,Bhavnagar,2024-06,Black,288.3,37.3,27.9,32.6,74,5.6,11.3,NE,57.00,37.48
Gujarat,Bhavnagar,2024-07,Black,147.7,35.3,25.9,30.6,71.6,4.5,3.1,SE,53.00,19.20
Gujarat,Bhavnagar,2024-08,Black,273,32.2,23.5,27.9,64.6,5.2,13.1,NW,78.00,35.49
Gujarat,Bhavnagar,2024-09,Black,86.1,31.8,23.7,27.8,57.3,3.8,7.9,W,37.00,11.19
Gujarat,Bhavnagar,2024-10,Sandy,18.9,36.1,24.3,30.2,56.3,9.2,4.7,S,41.00,2.46
Gujarat,Bhavnagar,2024-11,Alluvial,13.5,33.1,18.1,25.6,44.8,9.7,7.6,SE,70.00,1.76
Gujarat,Bhavnagar,2024-12,Loamy,1.5,29.2,13,21.1,39.6,8.8,8.4,NW,31.00,0.20
Gujarat,Bhavnagar,2025-01,Alluvial,4.3,31.3,8.9,20.1,55.9,10.7,1.8,NE,47.00,0.56
Gujarat,Bhavnagar,2025-02,Alluvial,5,31.5,12.4,21.9,37.2,8.4,13.3,N,55.00,0.65
Gujarat,Bhavnagar,2025-03,Black,14.5,38,18.9,28.4,33.7,9,9.5,SE,84.00,1.89
Gujarat,Bhavnagar,2025-04,Sandy,12,40.1,23.8,32,41.3,10.2,9.4,W,73.00,1.56
Gujarat,Bhavnagar,2025-05,Black,55.5,42.8,26.7,34.8,66.2,7.7,7.1,NW,37.00,7.22
Gujarat,Bhavnagar,2025-06,Alluvial,222.4,36.2,30.1,33.2,73.5,5,11.2,W,47.00,28.91
Gujarat,Bhavnagar,2025-07,Sandy,211.4,30.9,24.2,27.5,79.8,4.2,13.3,E,65.00,27.48
Gujarat,Bhavnagar,2025-08,Sandy,107.4,34.6,25.3,30,74.2,5,9.3,N,49.00,13.96
Gujarat,Bhavnagar,2025-09,Sandy,91.5,35.7,24.2,30,61.5,6.6,7.9,S,78.00,11.90
Gujarat,Jamnagar,2023-10,Black,20.6,32.3,20.3,26.3,52.4,9.7,7.3,NW,57.00,2.68
Gujarat,Jamnagar,2023-11,Red,4.7,33.4,17.2,25.3,37.2,9.7,4.9,SE,87.00,0.61
Gujarat,Jamnagar,2023-12,Alluvial,3.9,27.3,14.1,20.7,49.7,9.8,10.8,SE,77.00,0.51
Gujarat,Jamnagar,2024-01,Red,10,30.4,9.7,20,32.2,8.9,7.9,N,33.00,1.30
Gujarat,Jamnagar,2024-02,Alluvial,7.3,30.8,14.1,22.4,37.4,8.9,3.6,N,55.00,0.95
Gujarat,Jamnagar,2024-03,Loamy,5.1,33.8,16.7,25.2,55.5,8.6,15.7,NW,72.00,0.66
Gujarat,Jamnagar,2024-04,Alluvial,21.9,39.1,22.9,31,52,8.9,8.2,E,59.00,2.85
Gujarat,Jamnagar,2024-05,Black,98.9,40.7,29.3,35,53,7,13.2,NE,47.00,12.86
Gujarat,Jamnagar,2024-06,Loamy,151.9,40.6,29.7,35.1,70.5,6.1,10.8,NE,50.00,19.75
Gujarat,Jamnagar,2024-07,Black,270.8,30.5,25,27.8,73,5.4,9.7,NE,44.00,35.20
Gujarat,Jamnagar,2024-08,Alluvial,213.1,29.8,25.3,27.6,79.9,6.1,11.1,W,72.00,27.70
Gujarat,Jamnagar,2024-09,Loamy,103.5,34.5,23.8,29.1,43.4,7.5,8.5,SE,57.00,13.46
Gujarat,Jamnagar,2024-10,Loamy,20.4,32.9,20.6,26.8,55.5,9.5,9.9,N,30.00,2.65
Gujarat,Jamnagar,2024-11,Sandy,4.7,32.9,19,25.9,39.8,9.6,6.5,NE,60.00,0.61
Gujarat,Jamnagar,2024-12,Red,1.6,29.4,13.2,21.3,40.2,10.8,5.2,SW,80.00,0.21
Gujarat,Jamnagar,2025-01,Red,4,28.2,13.6,20.9,47,10.5,3.4,SE,73.00,0.52
Gujarat,Jamnagar,2025-02,Red,6.5,33.2,14,23.6,55.7,9,12.1,SE,73.00,0.85
Gujarat,Jamnagar,2025-03,Black,19.6,35.3,17.3,26.3,59.5,11.1,6.3,W,76.00,2.55
Gujarat,Jamnagar,2025-04,Sandy,15.5,38.4,22.3,30.4,35.8,8.5,5.5,S,40.00,2.02
Gujarat,Jamnagar,2025-05,Alluvial,54.8,41.2,29.7,35.5,50,8.2,7.2,SW,40.00,7.12
Gujarat,Jamnagar,2025-06,Sandy,182,38.9,27.5,33.2,78.1,5.7,9.3,N,54.00,23.66
Gujarat,Jamnagar,2025-07,Alluvial,249.3,36.5,25.1,30.8,70.8,4.9,6.2,NE,70.00,32.41
Gujarat,Jamnagar,2025-08,Loamy,166.7,33.6,26.6,30.1,70.4,4.7,9.3,SE,90.00,21.67
Gujarat,Jamnagar,2025-09,Black,69.5,34.8,24.1,29.4,44.8,8.9,13.2,S,38.00,9.04
Gujarat,Junagadh,2023-10,Black,18.8,34.7,22.6,28.7,48.3,10.2,14.3,NE,76.00,2.44
Gujarat,Junagadh,2023-11,Red,5.2,32.1,16.6,24.4,37.7,9.5,13.7,SW,66.00,0.68
Gujarat,Junagadh,2023-12,Sandy,2,30.6,13.2,21.9,56.9,12,6.7,E,56.00,0.26
Gujarat,Junagadh,2024-01,Loamy,4.2,30.9,13.1,22,63.5,10.1,7.2,S,75.00,0.55
Gujarat,Junagadh,2024-02,Loamy,9,34,15.2,24.6,50.1,10.6,11.8,N,49.00,1.17
Gujarat,Junagadh,2024-03,Alluvial,17.8,37.3,18,27.6,46.5,10.7,5.9,S,88.00,2.31
Gujarat,Junagadh,2024-04,Red,25.7,38.7,24.3,31.5,57.8,9.7,8.5,E,70.00,3.34
Gujarat,Junagadh,2024-05,Alluvial,46.2,42.4,29,35.7,81.6,6.6,9,NE,45.00,6.01
Gujarat,Junagadh,2024-06,Red,244.2,40.7,29.1,34.9,77.2,6.1,8.9,E,56.00,31.75
Gujarat,Junagadh,2024-07,Loamy,260.2,33.6,27.5,30.6,66.8,5.6,6.2,S,41.00,33.83
Gujarat,Junagadh,2024-08,Red,322.4,30,24.6,27.3,78,7.1,8.1,SE,33.00,41.91
Gujarat,Junagadh,2024-09,Red,90.4,37.1,22.5,29.8,38,7.5,6.8,SE,80.00,11.75
Gujarat,Junagadh,2024-10,Red,16,36.4,22.5,29.4,39.4,8.2,10.9,NW,68.00,2.08
Gujarat,Junagadh,2024-11,Alluvial,7.9,33.2,20.4,26.8,34.3,8,6.2,N,30.00,1.03
Gujarat,Junagadh,2024-12,Red,3.3,30.7,12.9,21.8,48.5,8.2,12.6,W,51.00,0.43
Gujarat,Junagadh,2025-01,Alluvial,5.5,31,12.6,21.8,49.6,10.1,9.7,N,46.00,0.72
Gujarat,Junagadh,2025-02,Black,9.2,34.3,14.5,24.4,52.1,9.4,12.6,SW,59.00,1.20
Gujarat,Junagadh,2025-03,Black,8.5,39,18.2,28.6,30.7,9.6,6.3,S,62.00,1.11
Gujarat,Junagadh,2025-04,Loamy,29,38.3,23.7,31,26.1,9,1,NW,56.00,3.77
Gujarat,Junagadh,2025-05,Loamy,42.4,42.5,29.2,35.9,64.3,5.8,8.2,W,77.00,5.51
Gujarat,Junagadh,2025-06,Alluvial,231,36.6,31,33.8,82,5.3,8.4,N,63.00,30.03
Gujarat,Junagadh,2025-07,Black,302.4,30.2,25.9,28,69.5,4.5,7.5,NE,84.00,39.31
Gujarat,Junagadh,2025-08,Red,356.8,33.3,24.5,28.9,79.6,6.9,11.1,N,46.00,46.38
Gujarat,Junagadh,2025-09,Sandy,105.5,33.3,25.1,29.2,63.9,8.1,10.2,E,62.00,13.72
Gujarat,Kutch,2023-10,Red,24.7,33.9,23.4,28.6,47,11.6,5.7,S,47.00,3.21
Gujarat,Kutch,2023-11,Red,10,33,17,25,40.2,9.2,9,N,67.00,1.30
Gujarat,Kutch,2023-12,Black,4,28.9,12.8,20.9,66.4,11.2,9,SE,65.00,0.52
Gujarat,Kutch,2024-01,Red,4.5,28.9,12.5,20.7,34.8,9.2,2.7,NE,75.00,0.59
Gujarat,Kutch,2024-02,Loamy,6.6,32.7,13.2,23,60.7,8.3,3.3,W,69.00,0.86
Gujarat,Kutch,2024-03,Black,9.7,37.3,19.8,28.5,40.4,10.6,7.6,E,54.00,1.26
Gujarat,Kutch,2024-04,Black,16.1,40.1,24.6,32.4,29.2,11,11.9,E,34.00,2.09
Gujarat,Kutch,2024-05,Alluvial,41.3,41.3,28.4,34.8,62.6,6.3,5.7,W,40.00,5.37
Gujarat,Kutch,2024-06,Red,171.8,39.5,29.5,34.5,72,6.3,0.8,E,39.00,22.33
Gujarat,Kutch,2024-07,Black,290.6,30.1,25.4,27.8,66,4.2,11.2,W,87.00,37.78
Gujarat,Kutch,2024-08,Black,163.8,32.3,24.7,28.5,78.8,5.6,3.9,S,33.00,21.29
Gujarat,Kutch,2024-09,Sandy,102.3,33,21.9,27.4,55.7,8.8,10.3,NE,79.00,13.30
Gujarat,Kutch,2024-10,Sandy,14.9,34.2,21.4,27.8,65.8,9.9,9,N,64.00,1.94
Gujarat,Kutch,2024-11,Black,7.7,33.1,17.5,25.3,43,9.4,7.6,SE,62.00,1.00
Gujarat,Kutch,2024-12,Red,4.6,29.8,13.7,21.8,44.2,9.6,1.7,NW,55.00,0.60
Gujarat,Kutch,2025-01,Black,7.3,29.3,13,21.1,16,11.6,7.3,S,77.00,0.95
Gujarat,Kutch,2025-02,Alluvial,9.1,30.2,14.5,22.4,34.5,8.9,13.5,SE,56.00,1.18
Gujarat,Kutch,2025-03,Sandy,7.8,36.1,18.8,27.5,50,9.7,8.8,SE,61.00,1.01
Gujarat,Kutch,2025-04,Red,34.1,38.6,24,31.3,55.5,10.6,11.3,SW,69.00,4.43
Gujarat,Kutch,2025-05,Red,62.8,39,29.8,34.4,48.5,7.4,5.5,NE,62.00,8.16
Gujarat,Kutch,2025-06,Loamy,169.8,38.2,29.2,33.7,78.4,7.1,9.1,SW,61.00,22.07
Gujarat,Kutch,2025-07,Loamy,200.7,34.2,27.2,30.7,65.2,6.1,9.8,W,70.00,26.09
Gujarat,Kutch,2025-08,Alluvial,173.5,33.8,24.6,29.2,76,5.3,7.8,SW,42.00,22.56
Gujarat,Kutch,2025-09,Red,51.1,31.6,25.7,28.6,51.5,5.8,1.3,NE,43.00,6.64
Gujarat,Gandhinagar,2023-10,Alluvial,13.2,32.8,23.8,28.3,55.1,8.8,14.5,S,30.00,1.72
Gujarat,Gandhinagar,2023-11,Loamy,7.6,32.3,14.8,23.5,67.9,8.1,2.8,NE,54.00,0.99
Gujarat,Gandhinagar,2023-12,Red,5.5,33.4,14.5,23.9,50.6,10.1,10.3,W,60.00,0.72
Gujarat,Gandhinagar,2024-01,Sandy,6.9,29.2,12,20.6,44.4,8.7,6.9,SW,75.00,0.90
Gujarat,Gandhinagar,2024-02,Sandy,0,31.6,12.6,22.1,34,9.7,11.9,NE,55.00,0.00
Gujarat,Gandhinagar,2024-03,Red,13,33.4,16.6,25,54.4,8.5,7.1,SE,30.00,1.69
Gujarat,Gandhinagar,2024-04,Sandy,21.5,37.3,24,30.6,31.7,8.9,8.7,N,51.00,2.80
Gujarat,Gandhinagar,2024-05,Loamy,26,41.4,27.8,34.6,65.5,7.3,11.9,N,35.00,3.38
Gujarat,Gandhinagar,2024-06,Red,183.4,37.1,29,33,79.3,5.5,7.9,SE,66.00,23.84
Gujarat,Gandhinagar,2024-07,Alluvial,175.8,31.8,24.1,28,89,4.3,5.7,W,81.00,22.85
Gujarat,Gandhinagar,2024-08,Loamy,153.6,33.1,24.5,28.8,85,4.8,8.6,SW,72.00,19.97
Gujarat,Gandhinagar,2024-09,Alluvial,59.1,37,22.4,29.7,63.1,7.8,9,SW,49.00,7.68
Gujarat,Gandhinagar,2024-10,Loamy,16.4,34.6,21.9,28.2,43.5,10.5,14.4,S,85.00,2.13
Gujarat,Gandhinagar,2024-11,Sandy,2.6,30.7,17.7,24.2,70.8,8.7,12.7,S,37.00,0.34
Gujarat,Gandhinagar,2024-12,Sandy,7.3,28.9,13.5,21.2,61.3,9.1,7.2,SW,52.00,0.95
Gujarat,Gandhinagar,2025-01,Loamy,2.5,27.2,11,19.1,32.8,9.5,5.5,S,62.00,0.33
Gujarat,Gandhinagar,2025-02,Black,6.1,29.4,14.2,21.8,53.3,7.5,8.9,E,62.00,0.79
Gujarat,Gandhinagar,2025-03,Sandy,14.4,34,19.8,26.9,49.2,8.8,7.6,W,67.00,1.87
Gujarat,Gandhinagar,2025-04,Loamy,21.6,38.9,24.5,31.7,35.8,9.7,3.5,E,74.00,2.81
Gujarat,Gandhinagar,2025-05,Sandy,51.2,39.4,26.9,33.1,72.4,8.3,9.6,S,64.00,6.66
Gujarat,Gandhinagar,2025-06,Red,120.1,37.3,30.3,33.8,76.1,7.8,8.9,N,82.00,15.61
Gujarat,Gandhinagar,2025-07,Black,233.5,32.3,26,29.1,73.8,6.2,10.6,S,37.00,30.36
Gujarat,Gandhinagar,2025-08,Loamy,149.7,29.8,22.6,26.2,79.1,4.4,1.3,W,87.00,19.46
Gujarat,Gandhinagar,2025-09,Sandy,89.1,37.5,23.8,30.6,68.4,7.1,7.5,SW,80.00,11.58
Gujarat,Banaskantha,2023-10,Loamy,26,34.5,22.3,28.4,48.2,8.8,10.9,SE,47.00,3.38
Gujarat,Banaskantha,2023-11,Black,4.3,31.8,18.6,25.2,36,9.5,7.9,NW,44.00,0.56
Gujarat,Banaskantha,2023-12,Red,5.9,30.7,12.9,21.8,53.2,10.9,9.6,NE,41.00,0.77
Gujarat,Banaskantha,2024-01,Alluvial,4.9,27,10.7,18.9,41.9,8.9,7.4,SW,40.00,0.64
Gujarat,Banaskantha,2024-02,Red,6.1,32.8,13.9,23.3,49.9,9.6,2,SE,83.00,0.79
Gujarat,Banaskantha,2024-03,Black,5.6,35.7,16.5,26.1,51,11,11.6,SE,84.00,0.73
Gujarat,Banaskantha,2024-04,Alluvial,18.1,41.2,24.1,32.7,41.6,8.9,7.1,E,84.00,2.35
Gujarat,Banaskantha,2024-05,Black,52.1,41.2,28.2,34.7,60,7.5,11.5,N,30.00,6.77
Gujarat,Banaskantha,2024-06,Loamy,245.2,35.7,25.9,30.8,82.5,4.1,7.3,NW,79.00,31.88
Gujarat,Banaskantha,2024-07,Sandy,169.3,30.3,26.6,28.5,81.1,4.9,0.2,NE,80.00,22.01
Gujarat,Banaskantha,2024-08,Loamy,184.3,32.5,23.2,27.9,76.5,5.5,9.7,W,39.00,23.96
Gujarat,Banaskantha,2024-09,Sandy,91,32.5,25.4,28.9,58.4,7,5.2,SE,39.00,11.83
Gujarat,Banaskantha,2024-10,Sandy,16.5,33.6,21.8,27.7,62.1,8.1,3.1,NW,58.00,2.15
Gujarat,Banaskantha,2024-11,Black,9.7,32.6,17.2,24.9,55.4,8.9,13.4,SE,71.00,1.26
Gujarat,Banaskantha,2024-12,Alluvial,4.8,29.2,15.6,22.4,38.9,10.2,8.9,N,57.00,0.62
Gujarat,Banaskantha,2025-01,Black,9.1,31.3,12,21.6,37.5,10,5.9,W,39.00,1.18
Gujarat,Banaskantha,2025-02,Loamy,12.9,32.2,13.5,22.9,46.8,8.2,5,E,88.00,1.68
Gujarat,Banaskantha,2025-03,Alluvial,15.2,35,16.7,25.9,50.4,10.7,10.1,NW,47.00,1.98
