state,district,month,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,wind_direction,rain_probability,rain_duration_hours
Tamil Nadu,Chennai,Dec-21,13.9,42,34,38,77,9.1,21.7,S,79%,4.6
Tamil Nadu,Coimbatore,Jun-23,193.5,36,29,32.5,48,6,13.7,E,24%,3.3
Gujarat,Ahmedabad,Nov-23,52.2,41,35,38,83,5,13.6,SW,21%,2.5
Maharashtra,Nagpur,Oct-21,37.7,35,23,29,62,8.6,24.8,NW,70%,4.1
Maharashtra,Pune,Jan-22,70.2,38,29,33.5,42,5.3,22.7,S,19%,2.2
Tamil Nadu,Tiruchirappalli,Sep-24,244.2,37,27,32,64,6.6,12,N,58%,4.3
Gujarat,Vadodara,May-20,0.9,34,25,29.5,78,5.8,13.1,NW,44%,3.4
Uttar Pradesh,Agra,Jul-20,0.8,26,15,20.5,67,8.2,7.5,NE,77%,1.8
Gujarat,Surat,Aug-22,157,38,27,32.5,33,7.7,19.5,S,24%,0.2
Uttar Pradesh,Varanasi,Nov-20,63,26,14,20,34,7.7,18.6,W,44%,2.2
Gujarat,Surat,May-20,12.5,31,19,25,72,5.4,16.5,NW,21%,0.6
Uttar Pradesh,Varanasi,Apr-21,79.6,40,30,35,37,7.3,7.1,S,57%,1.7
Uttar Pradesh,Lucknow,Dec-21,11.3,29,18,23.5,86,4.4,10.4,W,41%,5
Tamil Nadu,Chennai,May-21,42.2,35,29,32,54,5.8,5.3,NE,62%,4.3
Gujarat,Ahmedabad,Dec-22,30.8,27,18,22.5,66,8,18.5,NE,75%,2.1
Tamil Nadu,Madurai,Jan-22,30,37,28,32.5,81,5.9,21.1,S,61%,0
Tamil Nadu,Coimbatore,Aug-24,345.9,41,35,38,69,7.3,24.1,NE,58%,4.9
Tamil Nadu,Chennai,May-21,42.2,35,29,32,54,5.8,5.3,NE,62%,4.3
Uttar Pradesh,Kanpur,Mar-24,2.7,41,36,38.5,50,9.9,23.1,W,23%,2.5
Karnataka,Mysuru,Jul-24,32.5,33,26,29.5,63,8.4,19.5,N,41%,1.4
Maharashtra,Nashik,May-22,23.7,31,24,27.5,82,7.3,20.8,N,58%,2.8
Gujarat,Vadodara,Aug-24,397.1,32,26,29,84,6.1,6.3,SW,74%,3.2
Uttar Pradesh,Lucknow,Jan-22,70.9,37,25,31,87,5.4,17.9,NE,56%,2.6
Tamil Nadu,Chennai,May-21,42.2,35,29,32,54,5.8,5.3,NE,62%,4.3
Uttar Pradesh,Lucknow,Jun-21,230.7,36,27,31.5,46,4.9,19.3,SW,17%,4.8
Karnataka,Mangaluru,May-21,52.1,39,29,34,90,4.2,18,W,49%,3.8
Gujarat,Vadodara,Mar-22,45,38,28,33,87,6,11.7,NW,87%,3.3
Uttar Pradesh,Varanasi,Apr-20,29.7,36,28,32,77,7.3,5.5,NE,38%,0.1
Tamil Nadu,Madurai,Feb-22,7.4,37,25,31,44,6.9,15.2,SE,64%,0.2
Uttar Pradesh,Varanasi,Aug-20,197.2,39,32,35.5,34,6.5,21.2,E,40%,1.2
Karnataka,Hubli,Sep-22,225,25,14,19.5,80,7.6,15.6,E,12%,4.6
Maharashtra,Nashik,Oct-20,54.1,42,30,36,44,5.8,23.6,NE,89%,1.8
Gujarat,Rajkot,Feb-22,28.5,26,20,23,64,4.2,20.7,SW,68%,4.1
Tamil Nadu,Madurai,Feb-23,48.7,28,17,22.5,86,5,20.3,NE,15%,4.7
Gujarat,Surat,Dec-20,18,39,30,34.5,70,5.3,6.9,E,48%,1.1
Karnataka,Bengaluru,Apr-23,75.6,34,27,30.5,80,6.9,10.1,N,38%,2.1
Karnataka,Mysuru,Nov-23,52.9,32,27,29.5,89,8.3,24.1,NW,58%,0.7
Uttar Pradesh,Agra,Mar-20,67.7,29,21,25,79,9.7,21.1,NE,49%,2.1
Uttar Pradesh,Varanasi,May-22,54.3,32,24,28,34,8.6,15.5,SW,27%,1.4
Uttar Pradesh,Lucknow,Apr-24,11,26,18,22,30,5.4,12.7,NE,42%,4.3
Gujarat,Ahmedabad,Sep-20,203,30,23,26.5,87,8.5,8.5,SE,75%,0.2
Karnataka,Hubli,Jan-21,22.1,34,24,29,33,7.6,10.2,NE,62%,2.5
Karnataka,Hubli,Aug-24,360.8,29,21,25,74,6.9,18.5,N,77%,0.9
Uttar Pradesh,Lucknow,Feb-23,48.3,28,16,22,81,6.2,15,SW,76%,3.9
Maharashtra,Nagpur,Jun-20,204.6,41,30,35.5,73,6.5,21.5,NE,35%,1.5
Maharashtra,Pune,Jul-20,84.1,38,31,34.5,75,9.9,5.6,SW,79%,4
Tamil Nadu,Chennai,Oct-20,42,25,14,19.5,90,7.9,15.6,S,53%,3.3
Uttar Pradesh,Agra,May-20,5.7,41,33,37,77,7.2,8.6,E,70%,2.8
Maharashtra,Pune,Sep-20,289.6,31,26,28.5,88,8.1,5.4,SE,15%,1.5
Gujarat,Surat,Jan-20,25,26,20,23,53,7.4,24,SE,35%,0.8
Gujarat,Rajkot,Sep-21,141.2,26,16,21,61,7.4,8.2,SE,24%,4.6
Karnataka,Mangaluru,Feb-24,50,33,23,28,72,7.7,11.7,N,46%,1.3
Uttar Pradesh,Kanpur,Apr-23,10.4,38,31,34.5,49,8.9,24,W,17%,0.4
Uttar Pradesh,Agra,Sep-22,262.1,30,22,26,80,4.6,18.7,SE,43%,0.9
Gujarat,Vadodara,Oct-24,3.9,27,16,21.5,45,7.6,12,NW,41%,3.3
Gujarat,Vadodara,Feb-23,18.3,37,28,32.5,80,6.7,8.2,SE,12%,0
Tamil Nadu,Tiruchirappalli,Oct-21,16.2,35,26,30.5,76,4.7,16.2,NE,32%,0.5
Maharashtra,Nagpur,Jan-24,0.8,37,31,34,70,5.6,10.4,SW,62%,0.6
Karnataka,Mangaluru,Apr-23,75.6,26,17,21.5,50,7,13.7,SE,11%,4.2
Tamil Nadu,Coimbatore,Dec-24,40.2,26,20,23,34,6.6,17.1,NE,90%,1.5
Uttar Pradesh,Agra,Apr-23,13.4,30,25,27.5,62,8.9,6.4,E,64%,1.4
Maharashtra,Pune,Apr-20,19.3,31,23,27,90,7.6,17.6,S,29%,0.9
Karnataka,Mangaluru,Sep-20,111.4,42,34,38,67,5.4,14.5,N,17%,2.9
Maharashtra,Mumbai,Mar-23,36.2,35,28,31.5,56,5.1,7.5,W,18%,3.5
Gujarat,Surat,Jul-24,260.4,32,20,26,78,5.2,6.8,N,46%,1.7
Gujarat,Ahmedabad,May-23,4.9,38,29,33.5,90,4,23.2,NE,61%,4.3
Karnataka,Mysuru,Jan-20,57.9,28,23,25.5,34,9.8,18.3,SE,57%,2.5
Tamil Nadu,Madurai,Aug-21,133.1,31,23,27,37,7.3,18.5,NE,47%,4.8
Karnataka,Hubli,Oct-23,57.6,25,17,21,66,6.9,19.7,SE,82%,0.3
Gujarat,Vadodara,May-24,65.8,38,29,33.5,40,9.6,6.4,S,71%,3.2
Maharashtra,Nashik,May-23,78.3,33,26,29.5,88,4.8,8.2,E,67%,2
Karnataka,Mysuru,Mar-24,65.5,41,32,36.5,86,9,14.3,E,81%,0.2
Maharashtra,Mumbai,Sep-21,364.5,28,19,23.5,68,7,9,N,38%,2.8
Gujarat,Vadodara,Sep-24,360.6,39,34,36.5,85,4.5,8.2,W,10%,3.1
Tamil Nadu,Coimbatore,Apr-20,48.3,41,34,37.5,73,6.6,20.4,N,27%,4
Gujarat,Vadodara,Apr-21,33,27,15,21,68,8.7,21.9,NE,54%,0.9
Gujarat,Rajkot,Mar-24,1.5,36,24,30,77,5.9,13.4,SW,49%,4.6
Maharashtra,Mumbai,Apr-23,59.4,39,31,35,55,9.2,6.7,W,89%,1.2
Maharashtra,Nagpur,May-24,59.3,25,14,19.5,30,4.7,15.7,S,80%,1.8
Gujarat,Vadodara,Jul-22,400,27,16,21.5,33,5.3,12,NE,49%,3.1
Tamil Nadu,Madurai,Apr-20,30.4,30,24,27,77,8.6,23,N,36%,4.5
Uttar Pradesh,Agra,May-20,5.7,41,33,37,77,7.2,8.6,E,70%,2.8
Uttar Pradesh,Agra,Feb-24,30.3,39,27,33,32,8.4,20.6,SE,57%,4
Karnataka,Bengaluru,Nov-24,7,42,37,39.5,78,9.2,19.4,W,54%,2.1
Uttar Pradesh,Kanpur,Dec-24,28.5,26,20,23,60,7,18.1,W,73%,4.9
Gujarat,Ahmedabad,Nov-20,14.8,38,26,32,90,9.6,23.8,E,72%,3.7
Uttar Pradesh,Kanpur,Aug-21,269,26,14,20,47,7.5,20.3,NW,75%,1.3
Gujarat,Rajkot,Aug-22,30.8,27,16,21.5,55,7.1,21.8,SE,72%,4.4
Maharashtra,Pune,Mar-24,16.7,31,26,28.5,36,4.9,16.3,W,83%,1.5
Maharashtra,Nashik,Jan-24,39.6,37,30,33.5,47,8.5,15.3,NW,44%,0.5
Gujarat,Rajkot,Nov-24,26.3,37,31,34,88,7,17.6,E,24%,1.2
Karnataka,Bengaluru,Jun-24,147.6,26,19,22.5,67,6.7,12.1,NE,32%,1.2
Uttar Pradesh,Varanasi,Sep-21,38.2,30,22,26,73,6.8,14.5,S,81%,4
Karnataka,Mysuru,Sep-20,166.7,27,17,22,70,6.3,8.6,SE,13%,3.7
Karnataka,Hubli,Apr-24,79.2,27,21,24,44,9.9,22.7,NW,90%,1.8
Gujarat,Ahmedabad,Feb-23,45.2,37,25,31,79,6.9,10.7,S,11%,2.2
Tamil Nadu,Madurai,Feb-23,48.7,28,17,22.5,86,5,20.3,NE,15%,4.7
Uttar Pradesh,Lucknow,Apr-24,11,26,18,22,30,5.4,12.7,NE,42%,4.3
Maharashtra,Nagpur,Oct-24,24.6,31,19,25,83,8.2,25,SE,53%,0.5
Uttar Pradesh,Agra,Jul-21,212.1,28,18,23,76,6.3,20.6,NE,86%,3.3
Karnataka,Mysuru,Oct-20,63.6,31,25,28,88,4.1,19.7,SE,43%,3.9
Uttar Pradesh,Lucknow,Sep-22,4.6,34,26,30,81,7.3,16.7,E,63%,2.3
Maharashtra,Nashik,May-20,49.6,42,35,38.5,30,6.6,23.2,NW,54%,1.8
Karnataka,Mangaluru,Nov-24,11.7,40,31,35.5,78,6.2,17.3,E,79%,3
Uttar Pradesh,Varanasi,Feb-23,73.7,32,23,27.5,35,6.3,7.2,W,82%,3.2
Gujarat,Vadodara,May-21,72,30,22,26,90,4.8,13.5,NE,65%,4
Uttar Pradesh,Agra,Dec-20,79.3,33,26,29.5,36,7.7,19.3,NE,17%,3.3
Tamil Nadu,Tiruchirappalli,Aug-21,280.1,39,28,33.5,86,5.6,13.1,NE,71%,4.4
Karnataka,Mysuru,Feb-21,30.7,42,34,38,45,4.4,14.2,S,33%,3.9
Karnataka,Mysuru,Aug-23,147.3,39,34,36.5,62,9.9,23.4,S,31%,3.3
Gujarat,Surat,Oct-24,32.1,35,30,32.5,49,5.6,24.2,S,17%,0.2
Karnataka,Bengaluru,May-20,54.5,32,23,27.5,87,5,17.9,SE,57%,5
Karnataka,Bengaluru,Jul-20,287,34,29,31.5,39,4.3,24.5,E,44%,3.6
Gujarat,Ahmedabad,Feb-21,50.6,33,21,27,72,9.1,24.5,N,67%,5
Uttar Pradesh,Lucknow,Jan-21,59,36,28,32,74,4.6,21.3,E,80%,0.8
Tamil Nadu,Chennai,Jun-20,268.6,34,29,31.5,65,7.9,9.5,NE,85%,4.2
Uttar Pradesh,Kanpur,Jul-22,219.2,40,30,35,48,7.5,18.2,SE,24%,0.9
Gujarat,Vadodara,Mar-20,42.2,39,27,33,35,8.1,16.9,NW,19%,2.1
Gujarat,Surat,Apr-22,31.9,36,25,30.5,56,6.9,6.8,SW,10%,4.1
Tamil Nadu,Tiruchirappalli,Sep-20,104.6,41,32,36.5,55,7.7,10.4,N,36%,3.6
Uttar Pradesh,Agra,Mar-21,27.2,25,14,19.5,74,7.3,14.8,NW,25%,0.4
Karnataka,Mangaluru,Aug-24,384.5,33,28,30.5,59,5.2,11.3,N,66%,4.6
Uttar Pradesh,Kanpur,Nov-20,73.6,29,20,24.5,83,8.3,17.2,E,14%,2.6
Maharashtra,Nagpur,Sep-22,307.4,41,31,36,89,8.2,12.3,SW,49%,3.3
Maharashtra,Nagpur,Jun-23,73.1,35,30,32.5,80,8.3,7.7,NE,87%,3.5
Uttar Pradesh,Agra,Nov-24,73.5,31,19,25,45,7.6,7.4,NW,72%,2.1
Karnataka,Hubli,Apr-24,79.2,27,21,24,44,9.9,22.7,NW,90%,1.8
Gujarat,Ahmedabad,Aug-23,373.7,41,36,38.5,50,4.6,15.9,N,69%,1.8
Tamil Nadu,Chennai,Feb-20,65.5,40,35,37.5,82,6.5,11.8,NE,15%,0.9
Maharashtra,Nagpur,Sep-22,307.4,41,31,36,89,8.2,12.3,SW,49%,3.3
Uttar Pradesh,Lucknow,Nov-23,72.9,29,20,24.5,60,6.6,6.3,SW,88%,1.3
Maharashtra,Pune,Apr-24,52.6,37,30,33.5,60,9,16.1,S,83%,3.9
Tamil Nadu,Coimbatore,Nov-22,73.1,29,19,24,63,9.2,7.8,SW,41%,0.3
Tamil Nadu,Madurai,Mar-20,27.8,32,25,28.5,40,6.9,11.4,NW,57%,0.1
Gujarat,Surat,Aug-23,393.6,41,33,37,44,8.6,17.5,NE,87%,0.2
Karnataka,Bengaluru,May-24,29.6,40,28,34,80,10,15.8,SE,35%,0.2
Maharashtra,Pune,Apr-22,60.6,42,37,39.5,73,7.2,18.9,W,48%,2.9
Maharashtra,Pune,Sep-23,363.7,34,28,31,75,8.2,11.7,E,53%,3.1
Uttar Pradesh,Varanasi,Jun-23,318,33,27,30,80,6,16.2,NW,46%,3.6
Gujarat,Vadodara,Oct-20,0.8,31,21,26,31,4.4,19.4,NE,33%,1.1
Maharashtra,Pune,Dec-21,25.7,40,31,35.5,85,8.3,15.6,NW,67%,2.7
Uttar Pradesh,Agra,Jun-21,315.7,40,34,37,88,8.9,24.1,S,26%,1.1
Uttar Pradesh,Agra,Nov-24,73.5,31,19,25,45,7.6,7.4,NW,72%,2.1
Maharashtra,Nashik,Jan-23,33.8,38,30,34,76,9.9,20.2,N,50%,4.5
Karnataka,Bengaluru,Feb-21,5.1,30,21,25.5,73,9.6,23.6,SW,34%,4.6
Tamil Nadu,Madurai,Nov-21,2.2,27,15,21,87,9.8,13.4,NW,30%,0.1
Tamil Nadu,Coimbatore,Mar-21,12.1,31,25,28,64,7.4,15.6,S,73%,4.8
Uttar Pradesh,Lucknow,Apr-22,11.4,34,28,31,56,5.2,9.3,NE,85%,1.8
Maharashtra,Mumbai,Dec-24,9.1,31,22,26.5,50,8,22.9,SE,72%,4.1
Gujarat,Vadodara,Apr-23,12,26,19,22.5,60,6.4,17.6,SE,59%,3
Uttar Pradesh,Varanasi,Jan-22,35.9,28,16,22,68,9.6,21,SE,24%,2.8
Maharashtra,Nagpur,Jun-21,99.9,28,23,25.5,67,6.7,8.5,SE,59%,4.7
Karnataka,Mysuru,May-23,66.2,33,24,28.5,87,6.3,21.6,SE,75%,4.6
Uttar Pradesh,Kanpur,Dec-24,28.5,26,20,23,60,7,18.1,W,73%,4.9
Tamil Nadu,Tiruchirappalli,Aug-23,242.6,40,33,36.5,83,7.6,7.3,NE,64%,1.4
Gujarat,Surat,Jan-24,77.8,39,31,35,37,9,18.3,NW,75%,1
Gujarat,Ahmedabad,Jul-21,267.9,41,35,38,41,4.7,23.8,S,76%,1.4
Maharashtra,Nashik,Oct-21,60.1,31,19,25,45,6,22,NW,48%,1.6
Maharashtra,Nagpur,Mar-23,5.9,25,19,22,90,9.9,11.8,SW,65%,3.6
Gujarat,Vadodara,Mar-22,45,38,28,33,87,6,11.7,NW,87%,3.3
Uttar Pradesh,Lucknow,Sep-20,226.1,38,28,33,48,8.9,10.3,SE,14%,4
Maharashtra,Nashik,Feb-23,57.5,30,25,27.5,76,4.9,18.1,W,54%,1.3
Uttar Pradesh,Kanpur,Mar-21,66.5,32,22,27,72,4.5,23.8,NE,16%,3.3
Uttar Pradesh,Lucknow,Aug-21,2.3,36,26,31,37,4.9,9.6,SW,22%,2.9
Gujarat,Vadodara,Feb-22,45.1,35,24,29.5,34,4.7,19.3,NE,37%,1.2
Maharashtra,Mumbai,Feb-24,64.7,38,33,35.5,49,8.7,16.3,E,60%,1.1
Gujarat,Vadodara,Aug-23,198.6,42,35,38.5,71,6,23.6,N,69%,2.4
Tamil Nadu,Chennai,Nov-20,47.7,37,26,31.5,34,4.2,14.7,SW,15%,4
Uttar Pradesh,Varanasi,Nov-23,32.2,26,17,21.5,85,9.5,15.4,N,70%,3.1
Maharashtra,Nashik,Aug-22,3.8,34,29,31.5,47,5.3,23,W,90%,0.6
Tamil Nadu,Coimbatore,May-22,45.5,41,31,36,48,6.2,7,SE,12%,2.3
Karnataka,Mysuru,Apr-20,53.3,42,31,36.5,75,6.6,9.6,N,16%,3.5
Maharashtra,Pune,Sep-23,363.7,34,28,31,75,8.2,11.7,E,53%,3.1
Karnataka,Hubli,Jun-24,214.2,41,32,36.5,80,9,23.2,NE,13%,2
Gujarat,Rajkot,Jun-20,102.4,36,30,33,46,9.1,17.2,NE,74%,2.7
Maharashtra,Mumbai,Aug-21,389.7,33,25,29,66,4.7,15.2,SW,32%,1.4
Karnataka,Bengaluru,May-20,54.5,32,23,27.5,87,5,17.9,SE,57%,5
Gujarat,Surat,Jan-24,77.8,39,31,35,37,9,18.3,NW,75%,1
Uttar Pradesh,Varanasi,Mar-20,46.1,39,34,36.5,53,4.8,13.5,SW,78%,4
Karnataka,Bengaluru,Sep-20,395.5,33,23,28,35,4.4,24.4,N,42%,1.3
Maharashtra,Pune,Aug-21,7.1,42,30,36,75,9.2,12.8,S,22%,1.3
Tamil Nadu,Coimbatore,Feb-22,72.6,26,15,20.5,71,6.8,15,NE,64%,3.6
Karnataka,Bengaluru,Mar-23,31.3,28,17,22.5,58,9.9,9.5,SW,46%,1.3
Karnataka,Mysuru,Jun-22,367.5,39,33,36,53,4.6,6,S,19%,2.6
Tamil Nadu,Madurai,Jun-20,244.3,28,20,24,70,8.4,17.2,NE,68%,4.5
Uttar Pradesh,Agra,Jan-23,46.9,34,24,29,58,8.6,8.2,S,22%,1.3
Gujarat,Surat,Sep-21,163.3,38,28,33,38,6.7,22,N,23%,2.1
Maharashtra,Mumbai,Sep-22,341.9,37,32,34.5,40,8,18.9,NE,84%,3.7
Tamil Nadu,Chennai,Apr-24,67.9,32,25,28.5,30,6.4,8.6,W,77%,1.1
Maharashtra,Nagpur,Jun-21,99.9,28,23,25.5,67,6.7,8.5,SE,59%,4.7
Tamil Nadu,Tiruchirappalli,Apr-23,32.5,31,19,25,38,5.5,10.7,S,26%,4.2
Maharashtra,Pune,Jun-24,194.8,41,29,35,75,4.5,8.7,W,80%,2.7
Tamil Nadu,Tiruchirappalli,Aug-23,242.6,40,33,36.5,83,7.6,7.3,NE,64%,1.4
Maharashtra,Pune,Dec-23,24.9,39,33,36,65,7.5,21.4,E,48%,0.3
Karnataka,Mysuru,May-24,8.3,38,26,32,61,9.4,7.4,NW,79%,1.3
Uttar Pradesh,Lucknow,Aug-20,173.6,27,17,22,74,6.7,14.8,NE,24%,0.9
Uttar Pradesh,Varanasi,Sep-22,142.2,34,25,29.5,86,8.5,22.5,S,45%,0.7
Gujarat,Rajkot,Feb-20,25.2,39,34,36.5,80,6.3,9.7,SW,63%,4.2
Gujarat,Vadodara,Nov-22,34.5,42,36,39,47,8.5,16.4,NW,72%,4.5
Tamil Nadu,Madurai,Jul-20,334.2,34,28,31,41,8.2,11.7,SE,35%,4.5
Karnataka,Bengaluru,Jul-23,366,41,31,36,83,5.5,10,S,68%,2.8
Uttar Pradesh,Kanpur,Feb-24,4.5,34,25,29.5,45,6.3,20.4,SW,48%,3.8
